0;2500;2500;
1;2500;2500;
2;2500;2500;
3;2500;2500;
4;1890;2500;
5;1251;2250;
6;1861;2000;
7;2500;2000;
8;2500;2000;
9;1818;2000;
10;1818;2000;
11;2500;2000;
12;1850;2000;
13;1850;2000;
14;2500;2000;
15;2500;2000;
16;2500;2000;
17;2500;2000;
18;1863;2000;
19;1863;2000;
20;2500;2000;
21;1880;2000;
22;1880;2000;
23;2500;2000;
24;2500;2000;
25;2500;2000;
26;2500;2000;
27;2500;2000;
28;2500;2000;
29;2500;2000;
30;2500;2000;
31;2500;2000;
32;2500;2000;
33;2500;2000;
34;1872;2000;
35;1872;2000;
36;1872;2000;
37;1245;2000;
38;1873;2000;
39;2500;2000;
40;2500;2000;
41;2500;2000;
42;2500;2000;
43;2500;2000;
44;2500;2000;
45;2500;2000;
46;1861;2000;
47;1232;2000;
48;1870;2000;
49;2500;2000;
50;2500;2000;
51;2500;2000;
52;1892;2000;
53;1892;2000;
54;1873;2000;
55;1873;2000;
56;2500;2000;
57;2500;2000;
58;2500;2000;
59;2500;2000;
60;2500;2000;
61;1868;2000;
62;1868;2000;
63;1861;2000;
64;1861;2000;
65;2500;2000;
66;2500;2000;
67;2500;2000;
68;2500;2000;
69;2500;2000;
70;2500;2000;
71;1864;2000;
72;1245;2000;
73;1256;2000;
74;1874;2000;
75;2500;2000;
76;1876;2000;
77;1876;2000;
78;2500;2000;
79;2500;2000;
80;1881;2000;
81;1881;2000;
82;2500;2000;
83;2500;2000;
84;2500;2000;
85;2500;2000;
86;2500;2000;
87;2500;2000;
88;2500;2000;
89;2500;2000;
90;1878;2000;
91;1878;2000;
92;2500;2000;
93;2500;2000;


